Player,Team,Position,Age,Value
Jake Haener,NOS,QB,24,501
Matt Breida,NYG,RB,28,500
Brock Wright,DET,TE,24,497
Caleb Huntley,ATL,RB,24,493
Danny Gray,SFO,WR,24,484
DeeJay Dallas,SEA,RB,24,483
Tre'Quan Smith,NOS,WR,27,483
Rakim Jarrett,TBB,WR,22,479
Olamide Zaccheaus,PHI,WR,26,478
Snoop Conner,JAC,RB,23,475
C.J. Uzomah,NYJ,TE,30,473
Mack Hollins,ATL,WR,29,471
Demetric Felton,CLE,RB,25,470
Zach Pascal,ARI,WR,28,470
Mo Alie-Cox,IND,TE,29,468
Deonte Harty,BUF,WR,25,464
Max Duggan,LAC,QB,22,463
Cedrick Wilson,MIA,WR,27,463
Tyler Johnson,LAR,WR,24,458
Erik Ezukanma,MIA,WR,23,458
Kalif Raymond,DET,WR,28,456
Jalen Nailor,MIN,WR,24,454
Myles Gaskin,MIA,RB,26,452
Shi Smith,CAR,WR,24,448
Gary Brightwell,NYG,RB,24,442
Keaton Mitchell,BAL,RB,NA,442
Anthony McFarland,PIT,RB,24,440
Trey Sermon,PHI,RB,24,440
Jaren Hall,MIN,QB,25,439
Drew Lock,SEA,QB,26,437
Skylar Thompson,MIA,QB,26,433
Braxton Berrios,MIA,WR,27,427
Jermar Jefferson,DET,RB,23,425
Trestan Ebner,CHI,RB,24,423
O.J. Howard,LVR,TE,28,422
Travis Homer,CHI,RB,25,421
John Bates,WAS,TE,25,421
Hunter Long,LAR,TE,24,420
Jaret Patterson,WAS,RB,23,419
Colby Parkinson,SEA,TE,24,414
Jaelon Darden,CLE,WR,24,409
Kylen Granson,IND,TE,25,409
J.J. Taylor,NEP,RB,25,408
Jalen Reagor,MIN,WR,24,408
Equanimeous St. Brown,CHI,WR,26,405
Trent Sherfield,BUF,WR,27,402
Jamal Agnew,JAC,WR,28,401
Scotty Miller,ATL,WR,26,400
Colt McCoy,ARI,QB,36,399
Sam Ehlinger,IND,QB,24,398
Demarcus Robinson,LAR,WR,28,395
Ihmir Smith-Marsette,KCC,WR,23,386
James Mitchell,DET,TE,23,386
Ashton Dulin,IND,WR,26,385
Velus Jones,CHI,WR,26,383
D'Wayne Eskridge,SEA,WR,26,382
Collin Johnson,NYG,WR,25,380
Tylan Wallace,BAL,WR,24,355
Teddy Bridgewater,FA,QB,30,354
James Washington,NOS,WR,27,353
Lance McCutcheon,LAR,WR,24,349
